id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
409,"ep409","S_ueFGnZVoM","이달의소녀탐구 #409 (LOONA TV #409)","October 5, 2018","[++]","YeoJin, HaSeul","--","Hi High","Premier Greeting [[++]] Location","0:02 -- YeoJin starts off the episode by flaunting her dress. She feels ashamed as she has to run with HaSeul while holding her hand but she thinks the weather will be warm.\n0:19 -- Their scene starts to get shot.\n0:44 -- MomSeul is back at guiding YeoJin and the shooting finally ends.\n0:50 -- YeoJin feels confused. HaSeul: “Did you have fun?” - YeoJin: “Yes I had fun!”",52024,5920,243
410,"ep410","sj2iXC_KHUs","이달의소녀탐구 #410 (LOONA TV #410)","October 6, 2018","[++]","ViVi, HaSeul, HeeJin, YeoJin","--","Love&Live","Premier Greeting [[++]] Location","0:02 -- ViVi and HaSeul kick off this episode. HaSeul: “It is the MV shooting! Orbit! No, it's favOriTe!”\n0:09 -- ViVi seems embarrassed that HaSeul is making so many mistakes.\n0:19 -- She retakes and proceeds to mention that they need to practice.\n0:22 -- Some are practicing under the hot sun. Hyejoo and Yves are practicing indoors.\n0:34 -- Love&Live plays on the set and HeeJin dances meanwhile YeoJin hops in the background.\n0:52 -- HeeJin asks YeoJin that the concept of favOriTe is quite different from the cute MVs she has done and asks if she can do it well. YeoJin does the dance step.",63221,6208,310
411,"ep411","We69axMlMtE","이달의소녀탐구 #411 (LOONA TV #411)","October 8, 2018","[++]","OT12","--","favOriTe","favOriTe MV Shoot Location","0:01 -- LOOΠΔ introduces themselves and start recording the favOriTe MV.\n0:17 -- After the shoot, Go Won and HyunJin are having fun in front of the AC. Go Won mentions her hair is a getting messy and HyunJin should hold her too but she doesn't care.\n0:25 -- HaSeul joins the in: “I'll film an AC commercial.” HyunJin starts acting mean with the others who join in for fun.\n0:33 -- JinSoul: “OEC and summer are inseparable”. Choerry: “Yeah, summer unit hot unit!”. HyunJin in the middle: “Jigeum!” (bogo shipeo...) and starts promoting ⅓ and Lippie pushes her. OEC starts talking about themselves and HyunJin leaves. \n0:57 -- YeoJin: “You remember FROG EYE CIRCLE?”\n0:52 -- OEC works hard to make the event a success.",60951,5911,323
412,"ep412","Uxo4JnOnAUU","이달의소녀탐구 #412 (LOONA TV #412)","October 9, 2018","[++]","Yves, Go Won, HeeJin, Kim Lip, Chuu","--","favOriTe","favOriTe MV Shoot Location","0:01 -- LOOΠΔ is still performing favOriTe.\n0:12 -- Go Won and Yves: “We are the smurfs now!” Go Won asks Yves if her hair got dyed by the blue powder. \n0:22 -- HeeJin got color all over her by standing in the center. “And I got a kind of punishment~”. Kim Lip says they were actually happy as they were in the middle but it looked like a punishment.\n0:34 -- Yves: “I am kind of a mess right now.” Chuu pops in: “We will wash up!” yyxy shows off their 'nail art' and the episode with a jump.\n0:41 -- She tries to playfully punch her but instead whacks her neck. “Cut Cut Cut! Edit it!”\n0:44 -- YeoJin shows up and thinks she noticed it first but is dissappointed to hear that she isn't the first one. “I'll work hard so don't worry.”",58248,5568,221
413,"ep413","TBF4_-GbLxk","이달의소녀탐구 #413 (LOONA TV #413)","October 10, 2018","[++]","OEC, Yves, HaSel, Go Won","--","favOriTe","favOriTe MV Shoot Studio","0:01 -- YeoJin and JinSoul are sleepy as theu return to the studio.\n0:14 -- LipSoul swag show. However, the two still look tired. Yves and Choerry join in. They start a joke saying Yves is the new OEC member and ask her to dance. She dances.\n0:46 -- MomSeul praises HeeJin's facial experessions and calls them the best in LOOΠΔ. Go Won joins in.",53810,5350,301
414,"ep414","eQyCiUOQTmc","이달의소녀탐구 #414 (LOONA TV #414)","October 11, 2018","[++]","HyunJin, YeoJin, Olivia Hye","--","favOriTe","favOriTe MV Shoot Studio","0:01 -- HyunJin practices her facial expressions and starts memeing.\n0:28 -- It's 2:40AM and they are all ready to go home. YeoJin changed into casuals and is super excited. Olivia Hye in the back gives and awkward smile. “Are you really shooting me in casuals?” YeoJin barges in and stands in front of her.\n0:46 -- It's so late and YeoJin is still energetic. She can't stop speaking to the camera. Hye shows her mis matched shoes.",56002,5487,358
415,"ep415","VQwxP2u8W1E","이달의소녀탐구 #415 (LOONA TV #415)","October 12, 2018","[++]","ViVi","--","Love&Live","Hi High MV Shoot Location","0:01 -- ⅓ ViVi the Android is back. “I have to run soon” as she prepares to run. “I am running faster this time even though I am poor at running”\n0:43 -- She is tired after running. “There's no sun in the sy but it is hotter than expected. I had bangs before running however, they are gone now.\n0:36 -- She looks at the recording and becomes nostalgic instantly. “I used to look like that~”.\nViVi only episode! Hell yeah!",48451,5740,291
416,"ep416","Cz5N-PyHGHk","이달의소녀탐구 #416 (LOOΠΔ TV #416)","October 13, 2018","[++]","JinSoul, Kim Lip, HeeJin","--","Girl Front, Hi High","Hi High MV Shoot Location","0:01 -- LOOΠΔ arrives at the new set. LipSoul seems sleepy envy ViVi for leaving early.\n0:13 -- JinSoul: “So Lip and HeeJin should wait for me.” - Lip: “Pardon? Can't hear you~”\n0:35 -- HeeJin is lip syncing at the time of recroding and LipSoul hope for the best.\n0:47 -- HeeJin says that she slept really well on the way so her face might look a little fluffy.",55728,5644,226
417,"ep417","5INdeJn9BlM","이달의소녀탐구 #417 (LOONA TV #417)","October 15, 2018","[++]","JinSoul, Kim Lip, HeeJin","--","Stylish","--","0:01 -- JinSoul mentions that the background looks similar to Hong kong.\n0:14 -- The LOOΠΔ TV focusses on the journey. We go back in time.\n0:16 -- HeeJin points to a structure that looks similar to the one in Yves' 'new' MV. Lip mentions that it was super cold the last time they were here but now it's very hot.\n0:42 -- HeeJin points to the building where the last scene from Egoist was shot. It was very cold back then. “However we are trying to overcome the heat.”",59957,6470,304
418,"ep418","Vg33j74DvQI","이달의소녀탐구 #418 (LOONA TV #418)","October 16, 2018","[++]","Kim Lip","--","Hi High","Hi High MV Shoot Location","0:01 -- Kim Lip is filming her scene. She jumped but her posture doesn't seem natural but she finds a solution.\n0:25 -- She continues to film her parts. After har part, she says that she is genuinely confused about what is going on but she enjoyed it.\n0:57 -- “I think I didn't do it well because it was hillarious~”",54407,5381,221
419,"ep419","dO1M7RV1xm4","이달의소녀탐구 #419 (LOONA TV #419)","October 17, 2018","[++]","JinSoul","--","","Hi High MV Shoot Location","0:01 -- It's JinSoul's turn to shoot her part.\n0:13 -- “:It has been a while since I ran. Running in 'Singing in the Rain' was the last time I ran.”\n0:27 -- “If I keep running like this, I'm going to lose weight!”\n0:36 -- when she sees herself on the camera.\n0:38 -- She was the last one to shoot but she feels reassured since Kim Lip and HeeJin are waiting in the car. She thanks all the staff and employees.",55570,6210,344
420,"ep420","Mx-1HZ4rL5M","이달의소녀탐구 #420 (LOONA TV #420)","October 18, 2018","[++]","LOOΠΔ","--","Hi High","Hi High MV Shoot Location","0:01 -- Everyone is getting ready and is saying 'hi' to the camera.\n0:11 -- Choerry and Go Won: “Choego~” and then realize it means 'the best' in Korean\n0:25 -- The two are talking to the camera when a stylist has to take Go Won to get her make up fixed. Choerry whines. However, she is joined by Kim Lip. Aaanndd Choerry has to go now as well\n0:40 -- Lip PD mentions that HaSeul is walking towards her and is competing for the camera.\n0:53 -- 2Jin end the episode.",50997,5461,323
421,"ep421","aa4r8wsw16E","이달의소녀탐구 #421 (LOONA TV #421)","October 19, 2018","[++]","HyunJin, JinSoul, HeeJin, Choerry, Olivia Hye, Yves, YeoJin","--","Hi High","Hi High MV Shoot Location","0:01 -- HyunJin is excited and nervous as she si finally going to flim an earring commercial. “I haven't given up yet.\n0:12 -- JinSoul and HeeJin follow her to film the group dance scene. JinSoul: “It's 3JIN, a brand new combination!” - HeeJin: “HeeJinHyunJinSoul”\n0:32 -- Everyone is at the rooftop and are fascinated to see many fireflies. Olivia Hye: “I think I might one while singing.” - Yves: “Wow you must be full.” - YeoJin makes a bad joke.\n0:53 -- The group dance filming starts.",51320,5383,325
422,"ep422","0lu_78Hwi2U","이달의소녀탐구 #422 (LOONA TV #422)","October 22, 2018","[++]","LOOΠΔ","--","Hi High, Perfect Love","Hi High MV Shoot Location","The episode starts off with the group dance.\n0:23 -- HeeJin (her hair is a mess): “Shooting a group dance on the rooftop is over...” - Chuu: “It was fun”\n0:27 -- HeeJin mentions how warm the weather was. Chuu: “Hot, hot!”\n0:39 -- ViVi: “I'm feeling like I'm on a frying pan...”\n0:46 -- Choerry has ice on her head. “It's quite cool!”\n0:53 -- Go Won talks about the heat and Go Won smh at 0:55.",49263,5033,260
423,"ep423","akrUpXcPYmc","이달의소녀탐구 #423 (LOONA TV #423)","October 23, 2018","[++]","HeeJin","--","ViViD, Hi High","Hi High MV Shoot Location","0:01 -- HeeJin is alone on the set as she has to film an individual scene. (The one wear she jumps off the bridge.) She doesn't know she has to do it.\n0:26 -- Teleported to the rooftop, we get to see how this part was filmed. A stunt double was hung with a harness and pulled in the air. Heekki appreciates her efforts.\n0:36 -- HeeJin realizes the safety measures but still considers it dangerous. She also knows that this will be the highlight so she has to do her best to connect her running with the jump.",52390,5339,264
424,"ep424","TiUaIRNEEgs","이달의소녀탐구 #424 (LOONA TV #424)","October 24, 2018","[++]","CHoerry, HyunJin, ViVi, YeoJin","--","favOriTe","favOriTe MV Shoot Studio","0:01 -- Choerry demonstrates her new 'Water snake dance'.\n0:12 -- HyunJin does the dance. Choerry tells ViVi how HyunJin looks like a water snake. Then the three do it together.\n0:27 --  Wild froggo appears. YeoJin borrowed a small hat from the clothes teacher and kept it on one of her 'apples'\n0:36 -- YeoJin: “Choerry? Does this hat look good on me?” - Choerry: “Uh...” and proceeds to do the water snake dance.\n0:44 -- YeoJin: “What is that? It looks ugly.” while refering to the dance. The together upgrade the dance and perform it.\n0:51 -- YeoRry are proud of their new dance and end the episode with it.",50176,5403,355
425,"ep425","NtMky0qHVuM","이달의소녀탐구 #425 (LOONA TV #425)","October 25, 2018","[++]","HeeJin, yyxy, OEC","--","Hi High","Hi High MV Shoot Studio","The Second Day of [++]. OEC arrive in casual clothes.\n0:01 -- CHuuHee are watching OEC and Olivia Hye do their part. They start making their own explanations for the scene.\n0:07 -- Chuu: “OEC is looking at Olivia like: “Oh my... my Olivia Hye... come over here~” - HeeJin: “No~”\n0:12 -- The two hug each other tightly. Meanwhile Yves and Go Won sneak up on them. Hugging each other tighly.\n0:20 -- Olivia HeeJin now pretends to be in yyxy. “Olivia Hee”. They keep making more name matches for Olivia. “Olives, Oligo, Oligo-dang”\n0:36 -- The shoot still continues. Chuu: “Are they threatening our Olivia Hye? HEY! You better realize that approaching like that could be a threat to someone.”\n0:52 -- The four do the Yves swag jump.",54419,5464,366
426,"ep426","fj8YBfE2EIk","이달의소녀탐구 #426 (LOONA TV #426)","October 26, 2018","[++]","LOOΠΔ","--","Hi High","Hi High MV Shoot Studio","The shoot continues until late night until the MV shoot ends.\n0:21 -- Kim Lip: “The MV shoot was very long.” She thanks everyone on behalf of the group.\n0:30 -- “We have a lot of promotional activitues planned so give us your love aand support.”\n0:52 -- They do the 'Hi HaHIP' after Yves' suggestion.",72061,7810,340
